,Id,Brands,Models,Mileage,Body_Type,Seating,Prices,Engine_CC,Transmission,Fuel_Type,No_Of_Cylinders,price_in_crores
275,275,Toyota, Urban Cruiser Hyryder,19.4,SUV,5, 11.1 Lakh,1462,Manual,Petrol,4,1110000.0
276,276,Toyota, Innova Hycross,16.1,MUV,7, 18.9 Lakh,1987,Automatic,Petrol,0,1890000.0
277,277,Toyota, Innova Crysta,12.0,MUV,7, 20.0 Lakh,2393,Manual,Diesel,0,2000000.0
278,278,Toyota, Hilux,10.0,Pickup,5, 30.4 Lakh,2755,Manual,Diesel,4,3040000.0
279,279,Toyota, Fortuner,8.0,SUV,7, 33.4 Lakh,2694,Manual,Petrol,0,3340000.0
280,280,Toyota, Fortuner Legender,14.2,SUV,7, 43.7 Lakh,2755,Automatic,Diesel,0,4370000.0
281,281,Toyota, Camry,19.1,Sedan,5, 46.2 Lakh,2487,Automatic,Petrol,4,4620000.0
282,282,Toyota, Vellfire,19.3,Minivan,7, 1.20 Crore,2487,Automatic,Petrol,4,12000000.0
283,283,Toyota, Land Cruiser 300,11.0,SUV,5, 2.10 Crore,3346,Automatic,Diesel,6,21000000.0
284,284,Toyota, Belta,0.0,Sedan,5, 10.0 Lakh,1462,Manual,Petrol,0,1000000.0
285,285,Toyota, bZ4X,0.0,SUV,5, 70.0 Lakh,0,Automatic,Electric,0,7000000.0
286,286,Renault, KWID,21.5,Hatchback,5, 4.7 Lakh,999,Manual,Petrol,3,470000.0
287,287,Renault, Kiger,18.2,SUV,5, 6.0 Lakh,999,Manual,Petrol,3,600000.0
288,288,Renault, Triber,18.2,MUV,7, 6.0 Lakh,999,Manual,Petrol,3,600000.0
289,289,Renault, Captur,0.0,SUV,5, 9.5 Lakh,1498,Manual,Petrol,0,950000.0
290,290,Renault, Duster,0.0,SUV,5, 10.0 Lakh,1498,Manual,Petrol,0,1000000.0
291,291,Lamborghini, Huracan Evo,7.0,Coupe,2, 3.21 Crore,5204,Automatic,Petrol,0,32100000.0
292,292,Lamborghini, Urus,7.8,SUV,5, 4.18 Crore,3999,Automatic,Petrol,0,41800000.0
293,293,Volvo, XC40,12.2,SUV,5, 46.4 Lakh,1969,Automatic,Petrol,4,4640000.0
294,294,Volvo, XC40 Recharge,0.0,SUV,5, 56.9 Lakh,0,Automatic,Electric,0,5690000.0
295,295,Volvo, XC60,11.2,SUV,5, 67.5 Lakh,1969,Automatic,Petrol,0,6750000.0
296,296,Volvo, S90,14.7,Sedan,5, 67.9 Lakh,1969,Automatic,Petrol,4,6790000.000000001
297,297,Volvo, XC90,17.2,SUV,7, 98.5 Lakh,1969,Automatic,Petrol,4,9850000.0
298,298,Volvo, EX90,0.0,SUV,7, 1.50 Crore,0,Automatic,Electric,0,15000000.0
